iter	Passed	Remaining
507	588	570
508	590	569
509	591	568
510	592	567
511	593	565
512	594	564
513	595	563
514	597	562
515	598	561
516	599	559
517	600	558
518	602	557
519	603	556
520	605	556
521	606	555
522	607	554
523	608	552
524	609	551
525	611	550
526	612	549
527	613	548
528	614	547
529	615	545
530	616	544
531	617	543
532	619	542
533	620	541
534	621	540
535	623	539
536	624	538
537	625	537
538	626	535
539	627	534
540	628	533
541	629	532
542	630	530
543	631	529
544	633	528
545	634	527
546	635	526
547	636	524
548	637	523
549	638	522
550	639	521
551	640	519
552	641	518
553	642	517
554	644	516
555	645	515
556	646	514
557	647	512
558	648	511
559	650	510
560	651	509
561	652	508
562	653	507
563	654	506
564	655	505
565	656	503
566	658	502
567	659	501
568	660	500
569	661	498
570	662	497
571	663	496
572	664	495
573	665	494
574	666	492
575	668	491
576	669	490
577	670	489
578	671	488
579	673	487
580	674	486
581	675	485
582	676	483
583	677	482
584	678	481
585	680	480
586	681	479
587	682	478
588	683	477
589	684	475
590	685	474
591	686	473
592	687	472
593	689	471
594	690	469
595	691	468
596	692	467
597	693	466
598	694	465
599	695	463
600	697	462
601	698	461
602	699	460
603	700	459
604	702	458
605	703	457
606	704	455
607	705	454
608	706	453
609	707	452
610	708	451
611	710	450
612	711	448
613	712	447
614	713	446
615	714	445
616	716	444
617	717	443
618	718	442
619	719	441
620	720	440
621	722	438
622	723	437
623	724	436
624	725	435
625	726	434
626	728	433
627	729	431
628	730	430
629	731	429
630	732	428
631	733	427
632	734	425
633	735	424
634	736	423
635	738	422
636	739	421
637	740	420
638	741	418
639	742	417
640	743	416
641	744	415
642	745	414
643	747	413
644	748	411
645	749	410
646	750	409
647	751	408
648	753	407
649	754	406
650	756	405
651	757	404
652	758	402
653	759	401
654	760	400
655	761	399
656	763	398
657	764	397
658	765	396
659	766	394
660	767	393
661	769	392
662	770	391
663	771	390
664	772	389
665	773	387
666	774	386
667	775	385
668	777	384
669	778	383
670	779	382
671	780	381
672	781	379
673	782	378
674	783	377
675	785	376
676	786	375
677	787	373
678	788	372
679	789	371
680	790	370
681	791	369
682	792	367
683	793	366
684	794	365
685	796	364
686	797	363
687	798	362
688	799	360
689	800	359
690	801	358
691	803	357
692	804	356
693	805	355
694	806	354
695	807	352
696	809	351
697	810	350
698	811	349
699	812	348
700	813	347
701	814	345
702	815	344
703	817	343
704	818	342
705	819	341
706	820	340
707	821	338
708	822	337
709	823	336
710	825	335
711	826	334
712	827	333
713	828	331
714	829	330
715	830	329
716	832	328
717	833	327
718	834	326
719	835	325
720	837	323
721	838	322
722	839	321
723	840	320
724	841	319
725	842	318
726	844	316
727	845	315
728	846	314
729	847	313
730	848	312
731	849	311
732	851	310
733	852	308
734	853	307
735	854	306
736	855	305
737	857	304
738	858	303
739	859	301
740	860	300
741	861	299
742	862	298
743	864	297
744	865	296
745	866	295
746	867	293
747	868	292
748	869	291
749	871	290
750	872	289
751	873	288
752	874	286
753	876	285
754	877	284
755	878	283
756	879	282
757	880	281
758	881	279
759	883	278
760	884	277
761	885	276
762	886	275
763	887	274
764	888	273
765	890	271
766	891	270
767	892	269
768	893	268
769	894	267
770	895	266
771	897	264
772	898	263
773	899	262
774	900	261
775	901	260
776	902	259
777	903	257
778	904	256
779	905	255
780	906	254
781	907	253
782	909	251
783	910	250
784	912	249
785	913	248
786	914	247
787	915	246
788	916	245
789	917	243
790	918	242
791	919	241
792	920	240
793	921	239
794	923	238
795	924	236
796	925	235
797	926	234
798	928	233
799	929	232
800	930	231
801	931	230
802	932	228
803	933	227
804	935	226
805	936	225
806	937	224
807	938	222
808	939	221
809	940	220
810	941	219
811	942	218
812	943	217
813	945	215
814	946	214
815	947	213
816	948	212
817	950	211
818	951	210
819	952	209
820	953	207
821	954	206
822	955	205
823	957	204
824	958	203
825	959	202
826	960	200
827	961	199
828	963	198
829	964	197
830	965	196
831	966	195
832	967	193
833	968	192
834	969	191
835	970	190
836	971	189
837	972	188
838	974	186
839	975	185
840	976	184
841	977	183
842	978	182
843	979	181
844	980	179
845	981	178
846	982	177
847	984	176
848	985	175
849	986	174
850	987	172
851	988	171
852	989	170
853	990	169
854	991	168
855	992	167
856	994	165
857	995	164
858	996	163
859	997	162
860	998	161
861	999	160
862	1000	158
863	1002	157
864	1003	156
865	1004	155
866	1005	154
867	1006	153
868	1008	151
869	1009	150
870	1010	149
871	1011	148
872	1012	147
873	1013	146
874	1015	145
875	1016	143
876	1017	142
877	1018	141
878	1019	140
879	1020	139
880	1021	138
881	1022	136
882	1023	135
883	1025	134
884	1026	133
885	1027	132
886	1028	131
887	1029	129
888	1030	128
889	1032	127
890	1033	126
891	1034	125
892	1035	124
893	1036	122
894	1037	121
895	1038	120
896	1039	119
897	1040	118
898	1041	117
899	1042	115
900	1043	114
901	1045	113
902	1046	112
903	1047	111
904	1048	110
905	1049	108
906	1051	107
907	1052	106
908	1054	105
909	1055	104
910	1056	103
911	1057	102
912	1058	100
913	1059	99
914	1060	98
915	1061	97
916	1062	96
917	1064	95
918	1065	93
919	1066	92
920	1067	91
921	1068	90
922	1069	89
923	1070	88
924	1071	86
925	1072	85
926	1074	84
927	1075	83
928	1076	82
929	1077	81
930	1079	79
931	1080	78
932	1081	77
933	1082	76
934	1084	75
935	1085	74
936	1086	73
937	1087	71
938	1088	70
939	1090	69
940	1091	68
941	1092	67
942	1093	66
943	1095	64
944	1096	63
945	1097	62
946	1098	61
947	1100	60
948	1101	59
949	1102	58
950	1103	56
951	1104	55
952	1105	54
953	1107	53
954	1108	52
955	1109	51
956	1110	49
957	1111	48
958	1112	47
959	1113	46
960	1115	45
961	1116	44
962	1117	42
963	1118	41
964	1119	40
965	1121	39
966	1122	38
967	1123	37
968	1124	35
969	1126	34
970	1127	33
971	1129	32
972	1130	31
973	1131	30
974	1132	29
975	1133	27
976	1134	26
977	1135	25
978	1136	24
979	1138	23
980	1139	22
981	1140	20
982	1141	19
983	1142	18
984	1143	17
985	1144	16
986	1145	15
987	1147	13
988	1148	12
989	1149	11
990	1150	10
991	1151	9
992	1152	8
993	1153	6
994	1155	5
995	1156	4
996	1157	3
997	1158	2
998	1159	1
999	1160	0
