iter	RMSE
203	0.9457643496
204	0.9455192771
205	0.9450274394
206	0.9445135144
207	0.9436610917
208	0.9430646597
209	0.9427179806
210	0.9424259048
211	0.9421500901
212	0.9417347356
213	0.9414201014
214	0.9407599994
215	0.9401664511
216	0.9395033794
217	0.9388483488
218	0.9380923894
219	0.937218734
220	0.9364913532
221	0.9359573077
222	0.9357632157
223	0.9351060338
224	0.9347336452
225	0.93424728
226	0.9337487624
227	0.9333471914
228	0.9329919217
229	0.9324951575
230	0.9324004699
231	0.9319956676
232	0.9315700488
233	0.9308735486
234	0.9304581127
235	0.9302456549
236	0.9298585171
237	0.9292728814
238	0.9287065736
239	0.9281418208
240	0.9275235423
241	0.9272474126
242	0.9266134153
243	0.9260820824
244	0.9254450458
245	0.9248064702
246	0.9241449141
247	0.9237430681
248	0.9232879814
249	0.9227888231
250	0.9222801701
251	0.9217418901
252	0.9214219836
253	0.9209215608
254	0.9204810741
255	0.9202218367
256	0.9199037049
257	0.9195967519
258	0.9191390135
259	0.9186217124
260	0.9181471419
261	0.9177450844
262	0.9171417405
263	0.9167572972
264	0.9161652327
265	0.9156449989
266	0.9151423415
267	0.9146157581
268	0.9143349902
269	0.913678813
270	0.9133335484
271	0.9129129907
272	0.912522916
273	0.9123418684
274	0.9119660129
275	0.9114582517
276	0.9112595901
277	0.9107840241
278	0.9100283462
279	0.9094760754
280	0.9088851483
281	0.9084618301
282	0.9080779273
283	0.9077049156
284	0.9072086001
285	0.9067623395
286	0.9064494421
287	0.9059339223
288	0.9058021866
289	0.9052579614
290	0.905012937
291	0.9046664451
292	0.9042065423
293	0.9036661096
294	0.9034968806
295	0.9027738417
296	0.9021202808
297	0.9018318841
298	0.9014765057
299	0.9011306393
300	0.9008331016
301	0.900423351
302	0.8998160311
303	0.8994163286
304	0.8988268
305	0.898566145
306	0.8982707788
307	0.8978407124
308	0.8974876963
309	0.8967956933
310	0.8963550598
311	0.8960950437
312	0.8957237232
313	0.8952660292
314	0.8948153145
315	0.8945234309
316	0.8941927969
317	0.8939310497
318	0.8934718915
319	0.8932642015
320	0.8929340825
321	0.892615695
322	0.8921740494
323	0.8920977236
324	0.8916840079
325	0.8912832506
326	0.8909562873
327	0.8904048967
328	0.89000602
329	0.8897070278
330	0.8891929484
331	0.8886426806
332	0.8883604468
333	0.8880403938
334	0.8877424111
335	0.8876986163
336	0.887371102
337	0.8869884672
338	0.8865697662
339	0.8862921453
340	0.885894004
341	0.8855988118
342	0.8853131365
343	0.8851327842
344	0.8848527014
345	0.8843735846
346	0.8841210407
347	0.8838033343
348	0.8833473859
349	0.882990378
350	0.8826473548
351	0.8823584115
352	0.8817338029
353	0.8813307349
354	0.8811601171
355	0.88074576
356	0.880143012
357	0.8798274454
358	0.8793980301
359	0.8790729104
360	0.8783832726
361	0.8776879819
362	0.8772029636
363	0.8768539599
364	0.876368818
365	0.8761295363
366	0.8756219032
367	0.8749281812
368	0.8744731704
369	0.8739470777
370	0.873629074
371	0.8732283466
372	0.8726356423
373	0.87233453
374	0.8719895717
375	0.8715660967
376	0.8710708075
377	0.8707029855
378	0.8705050518
379	0.8701703059
380	0.8697625052
381	0.869156605
382	0.8687264407
383	0.8682829952
384	0.8679857894
385	0.8675490768
386	0.867209213
387	0.8669685862
388	0.866481152
389	0.866020533
390	0.8657410059
391	0.8654937254
392	0.8650498799
393	0.8645528104
394	0.8641659658
395	0.8637107404
396	0.8633526835
397	0.8630208339
398	0.8627247189
399	0.8623719474
400	0.8619941612
401	0.8615857826
402	0.8611608512
403	0.8611491557
404	0.8605943399
405	0.8603493546
406	0.8601895029
407	0.8598357496
408	0.8593235213
409	0.8590920964
410	0.8587324102
411	0.8583260745
412	0.8578919878
413	0.8575626425
414	0.8572682922
415	0.856792229
416	0.8564608504
417	0.8561538551
418	0.855722392
419	0.8554292411
420	0.8549461697
421	0.8543447655
422	0.8541310271
423	0.8535646441
424	0.853314826
425	0.8530373946
426	0.8527158197
427	0.8523750577
428	0.8521598337
429	0.8518534257
430	0.8514048451
431	0.850917867
432	0.8505080083
433	0.8501893464
434	0.8499360238
435	0.8495000956
436	0.8491086489
437	0.8488446635
438	0.8485180621
439	0.8482142188
440	0.8479290925
441	0.8476340276
442	0.8472183485
443	0.8470426149
444	0.8465624833
445	0.8463464429
446	0.8461277426
447	0.8457220315
448	0.84531928
449	0.8452100603
450	0.8449291734
451	0.8444601593
452	0.8441984342
453	0.8438781224
454	0.8434975356
455	0.8432922626
456	0.8432413327
457	0.8429123423
458	0.842561568
459	0.842229713
460	0.8418028482
461	0.8413746286
462	0.8409012563
463	0.8405592857
464	0.8402687009
465	0.839871043
466	0.8393275636
467	0.8390217657
468	0.83849571
469	0.8378895046
470	0.8376298619
471	0.8373821568
472	0.8370737302
473	0.8367741525
474	0.8363960864
475	0.8361089179
476	0.8357827514
477	0.8354681187
478	0.8350454442
479	0.8348730002
480	0.8344596647
481	0.8341999961
482	0.8337775297
483	0.8336514253
484	0.833349332
485	0.8329803633
486	0.8327738804
487	0.8323930704
488	0.8320180565
489	0.8317172403
490	0.8312976293
491	0.8310899358
492	0.8307913626
493	0.8304988451
494	0.830219582
495	0.8298560231
496	0.8298344396
497	0.8293882715
498	0.8288617535
499	0.8285339572
500	0.8281534551
501	0.8278819907
502	0.8275900575
503	0.8273151211
504	0.8270614845
505	0.8268654948
506	0.8265440176
507	0.8261447476
508	0.8257799493
509	0.825535303
510	0.8252805922
511	0.8247720094
512	0.8244590949
513	0.8239669759
514	0.8237745852
515	0.8235339557
516	0.823499834
517	0.8230696621
518	0.8226059694
519	0.8222568364
520	0.8221365741
521	0.8217648496
522	0.8212377674
523	0.8207807821
524	0.8204072934
525	0.8198823552
526	0.8196773966
527	0.8192060585
528	0.8187959919
529	0.81847699
530	0.8181218168
531	0.8176626104
532	0.8172321606
533	0.8169899357
534	0.8166395799
535	0.8162129826
536	0.8158120947
537	0.8156300867
538	0.8151871616
539	0.814877446
540	0.8145634029
541	0.8142511102
542	0.813966728
543	0.813566353
544	0.8133718133
545	0.8130187853
546	0.8127363771
547	0.8124864673
548	0.8121299297
549	0.8117640642
550	0.8113481839
551	0.8110679053
552	0.810463256
553	0.8101232038
554	0.8099159461
555	0.8097427376
556	0.8093910524
557	0.8088796014
558	0.8085622264
559	0.8082717325
560	0.8079629229
561	0.8076178165
562	0.80723636
563	0.8067834366
564	0.8063772942
565	0.806212391
566	0.8059010003
567	0.8055813987
568	0.8053538213
569	0.8049196491
570	0.8046931435
571	0.8043051408
572	0.8038621257
573	0.8036050504
574	0.8032918009
575	0.8028791663
576	0.802494046
577	0.8022377156
578	0.8017952507
579	0.8015433065
580	0.8011760343
581	0.8006388061
582	0.800622248
583	0.8003463442
584	0.8000635232
585	0.7995589474
586	0.7993435536
587	0.7991651951
588	0.798698548
589	0.7982912208
590	0.7979964653
591	0.7976307582
592	0.7974482243
593	0.7971662146
594	0.7969618267
595	0.7966998507
596	0.7961404988
597	0.7956113783
598	0.7952647324
599	0.7950601905
600	0.7947476538
601	0.7944842723
602	0.794166493
603	0.7936978938
604	0.7932580955
605	0.7926733991
606	0.7924562664
607	0.7921440656
608	0.7918453979
609	0.7915346613
610	0.7912245525
611	0.7907748779
612	0.7903641474
613	0.7900594104
614	0.7897441279
615	0.7896180128
616	0.7891793369
617	0.7887815485
618	0.7884102316
619	0.7881839864
620	0.788025023
621	0.7877307986
622	0.7873931162
623	0.7870342467
624	0.7867444842
625	0.7864550952
626	0.786262847
627	0.7859376608
628	0.7857872574
629	0.7854823084
630	0.7850898011
631	0.7848622461
632	0.7845805233
633	0.7845073956
634	0.7843299788
635	0.7841185091
636	0.7836655762
637	0.7832985028
638	0.7830528805
639	0.7829514961
640	0.7827657821
641	0.7824546124
642	0.7822294213
643	0.7819942881
644	0.7819465396
645	0.7813166533
646	0.7808706721
647	0.7805556426
648	0.7802428253
649	0.7799500091
650	0.7797600855
651	0.7794597587
652	0.7791613894
653	0.7787568469
654	0.7782962017
655	0.7779143485
656	0.7777798336
657	0.7773930871
658	0.7771546285
659	0.7768062892
660	0.7763846548
661	0.7760318372
662	0.7757169712
663	0.7754647883
664	0.7752245206
665	0.7749956869
666	0.7747621294
667	0.7743059061
668	0.773925169
669	0.7735056237
670	0.7731968443
671	0.7728429108
672	0.7725237315
673	0.7723405827
674	0.7720808431
675	0.7720661648
676	0.7719104027
677	0.7715511094
678	0.771357488
679	0.7709059324
680	0.7708929718
681	0.7704956476
682	0.7700854735
683	0.7698659012
684	0.7697157128
685	0.7694702287
686	0.7692033767
687	0.7689176825
688	0.7686527617
689	0.7684519121
690	0.7680419357
691	0.7678426249
692	0.7675390835
693	0.7673385868
694	0.7669691365
695	0.766595495
696	0.7664285418
697	0.7660915816
698	0.7660781705
699	0.7658210697
700	0.7654936367
701	0.7651256702
702	0.764987609
703	0.7646023524
704	0.7643961562
705	0.7640188927
706	0.7637884018
707	0.7635411076
708	0.7633598785
709	0.7631072782
710	0.7628702979
711	0.7626783245
712	0.7624537435
713	0.7620124028
714	0.7617807328
715	0.7616253957
716	0.7613973467
717	0.7611940105
718	0.7609511823
719	0.7606180019
720	0.760456107
721	0.7600434452
722	0.7598472968
723	0.7596796713
724	0.7594208259
725	0.7588818
726	0.7586648008
727	0.7582988271
728	0.7579155577
729	0.7574227858
730	0.7571949096
731	0.7570192321
732	0.7567217486
733	0.7564238959
734	0.7561493247
735	0.7559431663
736	0.7556211436
737	0.7553435214
738	0.7551324032
739	0.7549355164
740	0.7546318758
741	0.754306221
742	0.7540276619
743	0.7537300754
744	0.7535145009
745	0.7531855201
746	0.7526414263
747	0.7524439941
748	0.7522570473
749	0.7520103982
750	0.7516682276
751	0.7512846609
752	0.7509274508
753	0.7505779485
754	0.7501409739
755	0.7497444444
756	0.7493413967
757	0.7488983571
758	0.7486109689
759	0.7484867224
760	0.7481596626
761	0.7478083039
762	0.7474436387
763	0.7472082557
764	0.7469375116
765	0.7467248345
766	0.746401705
767	0.7461465024
768	0.7458077741
769	0.7455033922
770	0.7451691957
771	0.7449900207
772	0.7446393375
773	0.7442974219
774	0.7440340112
775	0.7438652527
776	0.7436542648
777	0.7433873845
778	0.7432347867
779	0.7430250024
780	0.7425421621
781	0.7425366455
782	0.7420961217
783	0.7418504118
784	0.741301135
785	0.7410713242
786	0.7407773335
787	0.7405296234
788	0.7402552176
789	0.7399484126
790	0.7397072111
791	0.7395503678
792	0.7393331755
793	0.7390163873
794	0.7387477201
795	0.7385964496
796	0.7383406279
797	0.7380979107
798	0.7378889723
799	0.7375370702
800	0.7372612987
801	0.7370019339
802	0.7367545051
803	0.736576299
804	0.7363077822
805	0.7360097644
806	0.7357720206
807	0.7352642832
808	0.7348531339
809	0.7345659874
810	0.7342622596
811	0.733947629
812	0.733756614
813	0.7335284976
814	0.7332313975
815	0.7330729248
816	0.7328912922
817	0.732575136
818	0.7324291703
819	0.732199502
820	0.7318502013
821	0.731736516
822	0.7317262509
823	0.7315422698
824	0.7311686952
825	0.7309333758
826	0.7304778051
827	0.7302509716
828	0.7300015901
829	0.7296866451
830	0.7294548496
831	0.7292047376
832	0.7290101876
833	0.7288606777
834	0.7286203554
835	0.7284682685
836	0.7281450121
837	0.7281347705
838	0.7277367657
839	0.7276136343
840	0.727282726
841	0.7271903456
842	0.7267943592
843	0.7265028396
844	0.7263616492
845	0.726150672
846	0.726004823
847	0.7255936806
848	0.7253596571
849	0.7249412534
850	0.7247117902
851	0.7244055853
852	0.7242709528
853	0.7240826002
854	0.7237810527
855	0.7235860531
856	0.7233226698
857	0.7229471466
858	0.7227464445
859	0.7224265805
860	0.7221472371
861	0.7218954979
862	0.7216030048
863	0.7212972819
864	0.7210507862
865	0.7208659846
866	0.7206279065
867	0.7204360578
868	0.7201881426
869	0.7198132145
870	0.7195186047
871	0.7193562487
872	0.7189711959
873	0.7187707762
874	0.7184627586
875	0.7182512818
876	0.7179649341
877	0.7177161787
878	0.7175480091
879	0.7173863958
880	0.7171702515
881	0.7169979173
882	0.7167539703
883	0.7164441428
884	0.71590697
885	0.7156875581
886	0.7153143076
887	0.7149814029
888	0.7146350074
889	0.7143798611
890	0.7141838874
891	0.7139097584
892	0.7137270873
893	0.7136377138
894	0.7133813849
895	0.7131463573
896	0.7128933561
897	0.7127764044
898	0.7125624741
899	0.7123087814
900	0.7119458143
901	0.7116947507
902	0.7113458581
903	0.7111003978
904	0.7109254065
905	0.710765899
906	0.7104271038
907	0.7100536395
908	0.7096463035
909	0.7093439465
910	0.7091682438
911	0.7087910897
912	0.7087259114
913	0.7083882322
914	0.7083789278
915	0.7082403567
916	0.7082346597
917	0.7079390918
918	0.7077246046
919	0.7075226423
920	0.7073080447
921	0.7070603465
922	0.7067025675
923	0.7064902321
924	0.7062677157
925	0.7059253031
926	0.7055376459
927	0.7052482218
928	0.7048867222
929	0.7046017003
930	0.7044478262
931	0.7041774766
932	0.7039978371
933	0.7037541634
934	0.7034500262
935	0.7032158481
936	0.7027900968
937	0.7026008472
938	0.7022162919
939	0.7020559468
940	0.7017283262
941	0.7015196137
942	0.7012541658
943	0.7010059806
944	0.7007121344
945	0.7004976827
946	0.7003309082
947	0.7001978648
948	0.7000131417
949	0.6998105688
950	0.6995111721
951	0.6992814924
952	0.6989947654
953	0.6986894677
954	0.6983348126
955	0.6980746045
956	0.697859715
957	0.6975576066
958	0.6973443644
959	0.69698356
960	0.6965816451
961	0.6963924923
962	0.6958614869
963	0.6953857799
964	0.6949561783
965	0.6947560397
966	0.694486175
967	0.6942341973
968	0.6939627621
969	0.6936672704
970	0.6934545595
971	0.6931159555
972	0.692875488
973	0.6924836461
974	0.6923061711
975	0.691927671
976	0.6915042724
977	0.6913687064
978	0.6911172039
979	0.6907995585
980	0.6906052206
981	0.6905988801
982	0.690257836
983	0.6899737308
984	0.6897701984
985	0.6895983257
986	0.6893753368
987	0.689044449
988	0.6888148616
989	0.688661342
990	0.6884719565
991	0.6882138806
992	0.688207655
993	0.6879739803
994	0.6876702355
995	0.6872585588
996	0.6870239359
997	0.6866528713
998	0.6863476973
999	0.686260052
